username,created_at_as_str,uri,api,unique_resource_name,unique_resource_id
explorin_vedant11,2022-04-24 12:28:35.160479,/,ACCESSED DASHBOARD,NONE,NONE
explorin_vedant11,2022-04-24 12:28:40.077085,/situation/14/1/3,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 1 | Title - College Life Crisis exploration-Day 3,TaskMap|193
explorin_vedant11,2022-04-24 12:28:40.194294,/task-page/14/1/3,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 1 | Title - College Life Crisis exploration-Day 3,TaskMap|193
anonymous_user,2022-04-24 12:42:17.585021,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 12:42:25.178965,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 12:53:46.461551,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
someonenew,2022-04-24 12:56:37.985161,/,ACCESSED DASHBOARD,NONE,NONE
someonenew,2022-04-24 13:27:29.424777,/,ACCESSED DASHBOARD,NONE,NONE
someonenew,2022-04-24 13:31:45.041737,/,ACCESSED DASHBOARD,NONE,NONE
someonenew,2022-04-24 13:32:53.779547,/,ACCESSED DASHBOARD,NONE,NONE
anonymous_user,2022-04-24 13:51:02.428679,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 13:52:02.725958,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 13:53:02.985844,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 13:54:03.242481,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 13:55:02.533709,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 13:56:03.085880,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 13:57:02.345753,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 13:58:02.609905,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 13:59:02.842368,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:00:03.092400,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:01:02.990379,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:02:03.296994,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:03:02.544466,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:04:02.800433,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:05:03.070822,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:06:02.462962,/login?next=/,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:06:07.492343,/login,ACCESSED LOGIN_PAGE,NONE,NONE
anonymous_user,2022-04-24 14:06:12.995645,/login,POSTED_ON LOGIN_PAGE,NONE,NONE
ramanbansal112,2022-04-24 14:06:13.328342,/,ACCESSED DASHBOARD,NONE,NONE
ramanbansal112,2022-04-24 14:06:21.440051,/situation/9/1/1,ACCESSED SITUATION,Type - PERSONAL | Field - FundamentalsTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Career-Day 1,TaskMap|122
