created_at,username,uri,api
2022-04-24 14:28:48.141813,someonenew,/api/mark_resource_visited/359,POSTED RESOURCE
2022-04-24 14:29:02.758055,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:30:02.982644,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:31:03.284329,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:32:02.540482,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:33:02.549233,ramanbansal112,/task-page/9/1/2,ACCESSED TASK_PAGE
2022-04-24 14:33:02.807023,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:34:03.039067,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:35:03.311555,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:36:02.621146,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:37:02.906762,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:38:03.189608,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:39:02.425466,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:40:02.718715,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:41:02.804289,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:42:03.255904,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:42:41.827683,someonenew,/api/mark_resource_visited/359,POSTED RESOURCE
2022-04-24 14:43:02.527079,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:44:02.755446,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:45:03.004518,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:46:02.791310,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:47:03.044315,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:48:03.270290,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:49:02.508140,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:50:02.754100,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:51:02.760246,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:52:03.022342,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:52:38.336898,someonenew,/,ACCESSED DASHBOARD
2022-04-24 14:53:03.241792,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:54:02.553228,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:55:02.825939,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:56:03.104506,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:57:02.340739,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:58:02.578140,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 14:59:02.875376,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:00:03.193988,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:01:02.928801,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:02:03.148521,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:03:02.379824,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:04:02.658578,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:05:02.907288,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:06:02.349693,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:07:02.615643,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:08:02.864757,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:09:03.144321,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:10:02.413795,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:11:02.457096,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:12:02.689548,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:13:03.302465,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:14:02.771575,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:15:03.013527,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:16:02.599757,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:17:02.890363,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:18:03.281635,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:19:02.571666,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:20:02.827742,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:21:02.592838,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:22:02.913367,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:23:03.141259,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:24:02.429561,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:25:02.678243,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:26:03.030161,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:27:03.318089,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:28:02.581793,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:29:02.836774,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:30:03.063861,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:31:03.185738,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:32:02.425762,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:33:02.912234,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:34:03.140089,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:35:02.378374,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:36:03.039552,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:37:03.329899,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:38:12.676624,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:39:02.936419,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:40:03.203644,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:41:02.858830,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:42:03.084961,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:43:03.483568,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:44:02.862474,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:45:03.121837,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:46:02.996299,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:46:39.956675,someonenew,/api/mark_resource_visited/360,POSTED RESOURCE
2022-04-24 15:47:03.282009,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:48:02.555612,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:49:02.796846,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:50:03.164365,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:51:02.485731,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:52:02.921525,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:53:03.137784,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:54:02.392477,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:55:02.631456,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:56:03.234981,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:57:02.666059,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:58:02.956635,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 15:59:03.267533,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:00:02.569694,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:01:03.071253,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:02:02.363528,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:03:02.609028,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:04:02.838496,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:05:03.118540,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:06:02.339254,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:07:02.670687,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:08:02.920532,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:09:03.176318,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:09:58.105698,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
